Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
45e5b0f6-e933-40ca-a2f6-a360f7b8da4c,"2021-01-24, 11:03:54 AM",CloudTrail,CreateTrail,CloudTrail Trail and 2 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:257587651812:trail/udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity_trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-d628fe78""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-west-2:257587651812:key/ea2df793-ccaa-4e2b-8b2d-a423eb585156""}]",,us-west-2,,74.196.233.10
4fdbb238-b7c4-40b0-a266-ac162f22d5e7,"2021-01-24, 11:03:54 AM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:257587651812:trail/udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity_trail""}]",,us-west-2,,74.196.233.10
519624ad-9c7c-4b19-87d2-a111e1da62d8,"2021-01-24, 11:03:54 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:257587651812:trail/udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity_trail""}]",,us-west-2,,74.196.233.10
bfb165bd-633f-45a8-9f7f-c3a019574beb,"2021-01-24, 11:03:54 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity_trail""}]",,us-west-2,,74.196.233.10
3701b775-abce-4c35-936e-1c37ed0efaf3,"2021-01-24, 11:03:53 AM",CloudTrail,CreateKey,KMS Key,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""ea2df793-ccaa-4e2b-8b2d-a423eb585156""}]",,us-west-2,,74.196.233.10
4e02d3df-c9ec-4dc3-b48c-8cf5fe6d2160,"2021-01-24, 11:03:53 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-d628fe78""}]",,us-west-2,,74.196.233.10
6f3ee8b6-ea13-41c0-b898-58e823d831d8,"2021-01-24, 11:03:53 AM",CloudTrail,CreateAlias,,,,us-west-2,,74.196.233.10
cd3c89de-6662-4311-8283-1a688fc82fda,"2021-01-24, 11:03:53 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-d628fe78""}]",,us-west-2,,74.196.233.10
e2a24873-463b-477e-b3a0-0ec2db43b645,"2021-01-24, 11:03:53 AM",CloudTrail,PutBucketPublicAccessBlock,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-d628fe78""}]",,us-west-2,,74.196.233.10
abf35259-0f40-49dc-9c55-c7816ba94bb6,"2021-01-24, 11:01:11 AM",CloudTrail,DeleteTrail,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:257587651812:trail/udacity_trail""}]",,us-west-2,,74.196.233.10
